iso,country,year,scenario,anomaly
CAN,Canada,2100,ssp126,2.0
CAN,Canada,2024,ssp245,1.44
CAN,Canada,2025,ssp245,1.5
CAN,Canada,2026,ssp245,1.56
CAN,Canada,2027,ssp245,1.62
CAN,Canada,2028,ssp245,1.68
CAN,Canada,2029,ssp245,1.74
CAN,Canada,2030,ssp245,1.8
CAN,Canada,2031,ssp245,1.82
CAN,Canada,2032,ssp245,1.84
CAN,Canada,2033,ssp245,1.86
CAN,Canada,2034,ssp245,1.88
CAN,Canada,2035,ssp245,1.9
CAN,Canada,2036,ssp245,1.92
CAN,Canada,2037,ssp245,1.94
CAN,Canada,2038,ssp245,1.96
CAN,Canada,2039,ssp245,1.98
CAN,Canada,2040,ssp245,2.0
CAN,Canada,2041,ssp245,2.02
CAN,Canada,2042,ssp245,2.04
CAN,Canada,2043,ssp245,2.06
CAN,Canada,2044,ssp245,2.08
CAN,Canada,2045,ssp245,2.1
CAN,Canada,2046,ssp245,2.12
CAN,Canada,2047,ssp245,2.14
CAN,Canada,2048,ssp245,2.16
CAN,Canada,2049,ssp245,2.18
CAN,Canada,2050,ssp245,2.2
CAN,Canada,2051,ssp245,2.22
CAN,Canada,2052,ssp245,2.24
CAN,Canada,2053,ssp245,2.26
CAN,Canada,2054,ssp245,2.28
CAN,Canada,2055,ssp245,2.3
CAN,Canada,2056,ssp245,2.32
CAN,Canada,2057,ssp245,2.34
CAN,Canada,2058,ssp245,2.36
CAN,Canada,2059,ssp245,2.38
CAN,Canada,2060,ssp245,2.4
CAN,Canada,2061,ssp245,2.42
CAN,Canada,2062,ssp245,2.44
CAN,Canada,2063,ssp245,2.46
CAN,Canada,2064,ssp245,2.48
CAN,Canada,2065,ssp245,2.5
CAN,Canada,2066,ssp245,2.52
CAN,Canada,2067,ssp245,2.54
CAN,Canada,2068,ssp245,2.56
CAN,Canada,2069,ssp245,2.58
CAN,Canada,2070,ssp245,2.6
CAN,Canada,2071,ssp245,2.62
CAN,Canada,2072,ssp245,2.64
CAN,Canada,2073,ssp245,2.66
CAN,Canada,2074,ssp245,2.68
CAN,Canada,2075,ssp245,2.7
CAN,Canada,2076,ssp245,2.72
CAN,Canada,2077,ssp245,2.74
CAN,Canada,2078,ssp245,2.76
CAN,Canada,2079,ssp245,2.78
CAN,Canada,2080,ssp245,2.8
CAN,Canada,2081,ssp245,2.82
CAN,Canada,2082,ssp245,2.84
CAN,Canada,2083,ssp245,2.86
CAN,Canada,2084,ssp245,2.88
CAN,Canada,2085,ssp245,2.9
CAN,Canada,2086,ssp245,2.92
CAN,Canada,2087,ssp245,2.94
CAN,Canada,2088,ssp245,2.96
CAN,Canada,2089,ssp245,2.98
CAN,Canada,2090,ssp245,3.0
CAN,Canada,2091,ssp245,3.0
CAN,Canada,2092,ssp245,3.0
CAN,Canada,2093,ssp245,3.0
CAN,Canada,2094,ssp245,3.0
CAN,Canada,2095,ssp245,3.0
CAN,Canada,2096,ssp245,3.0
CAN,Canada,2097,ssp245,3.0
CAN,Canada,2098,ssp245,3.0
CAN,Canada,2099,ssp245,3.0
CAN,Canada,2100,ssp245,3.0
CAN,Canada,2024,ssp585,1.52
CAN,Canada,2025,ssp585,1.583
CAN,Canada,2026,ssp585,1.647
CAN,Canada,2027,ssp585,1.71
CAN,Canada,2028,ssp585,1.773
CAN,Canada,2029,ssp585,1.837
CAN,Canada,2030,ssp585,1.9
CAN,Canada,2031,ssp585,1.952
CAN,Canada,2032,ssp585,2.003
CAN,Canada,2033,ssp585,2.055
CAN,Canada,2034,ssp585,2.107
CAN,Canada,2035,ssp585,2.158
CAN,Canada,2036,ssp585,2.21
CAN,Canada,2037,ssp585,2.262
CAN,Canada,2038,ssp585,2.313
CAN,Canada,2039,ssp585,2.365
CAN,Canada,2040,ssp585,2.417
CAN,Canada,2041,ssp585,2.468
CAN,Canada,2042,ssp585,2.52
CAN,Canada,2043,ssp585,2.572
CAN,Canada,2044,ssp585,2.623
CAN,Canada,2045,ssp585,2.675
CAN,Canada,2046,ssp585,2.727
CAN,Canada,2047,ssp585,2.778
CAN,Canada,2048,ssp585,2.83
CAN,Canada,2049,ssp585,2.882
CAN,Canada,2050,ssp585,2.933
CAN,Canada,2051,ssp585,2.985
CAN,Canada,2052,ssp585,3.037
CAN,Canada,2053,ssp585,3.088
CAN,Canada,2054,ssp585,3.14
CAN,Canada,2055,ssp585,3.192
CAN,Canada,2056,ssp585,3.243
CAN,Canada,2057,ssp585,3.295
CAN,Canada,2058,ssp585,3.347
CAN,Canada,2059,ssp585,3.398
CAN,Canada,2060,ssp585,3.45
CAN,Canada,2061,ssp585,3.502
CAN,Canada,2062,ssp585,3.553
CAN,Canada,2063,ssp585,3.605
CAN,Canada,2064,ssp585,3.657
CAN,Canada,2065,ssp585,3.708
CAN,Canada,2066,ssp585,3.76
CAN,Canada,2067,ssp585,3.812
CAN,Canada,2068,ssp585,3.863
CAN,Canada,2069,ssp585,3.915
CAN,Canada,2070,ssp585,3.967
CAN,Canada,2071,ssp585,4.018
CAN,Canada,2072,ssp585,4.07
CAN,Canada,2073,ssp585,4.122
CAN,Canada,2074,ssp585,4.173
CAN,Canada,2075,ssp585,4.225
CAN,Canada,2076,ssp585,4.277
CAN,Canada,2077,ssp585,4.328
CAN,Canada,2078,ssp585,4.38
CAN,Canada,2079,ssp585,4.432
CAN,Canada,2080,ssp585,4.483
CAN,Canada,2081,ssp585,4.535
CAN,Canada,2082,ssp585,4.587
CAN,Canada,2083,ssp585,4.638
CAN,Canada,2084,ssp585,4.69
CAN,Canada,2085,ssp585,4.742
CAN,Canada,2086,ssp585,4.793
CAN,Canada,2087,ssp585,4.845
CAN,Canada,2088,ssp585,4.897
CAN,Canada,2089,ssp585,4.948
CAN,Canada,2090,ssp585,5.0
CAN,Canada,2091,ssp585,5.0
CAN,Canada,2092,ssp585,5.0
CAN,Canada,2093,ssp585,5.0
CAN,Canada,2094,ssp585,5.0
CAN,Canada,2095,ssp585,5.0
CAN,Canada,2096,ssp585,5.0
CAN,Canada,2097,ssp585,5.0
CAN,Canada,2098,ssp585,5.0
CAN,Canada,2099,ssp585,5.0
CAN,Canada,2100,ssp585,5.0
USA,United States,2024,ssp126,1.28
USA,United States,2025,ssp126,1.333
USA,United States,2026,ssp126,1.387
USA,United States,2027,ssp126,1.44
USA,United States,2028,ssp126,1.493
USA,United States,2029,ssp126,1.547
USA,United States,2030,ssp126,1.6
USA,United States,2031,ssp126,1.605
USA,United States,2032,ssp126,1.61
USA,United States,2033,ssp126,1.615
USA,United States,2034,ssp126,1.62
USA,United States,2035,ssp126,1.625
USA,United States,2036,ssp126,1.63
USA,United States,2037,ssp126,1.635
USA,United States,2038,ssp126,1.64
USA,United States,2039,ssp126,1.645
USA,United States,2040,ssp126,1.65
USA,United States,2041,ssp126,1.655
USA,United States,2042,ssp126,1.66
USA,United States,2043,ssp126,1.665
USA,United States,2044,ssp126,1.67
USA,United States,2045,ssp126,1.675
USA,United States,2046,ssp126,1.68
USA,United States,2047,ssp126,1.685
USA,United States,2048,ssp126,1.69
USA,United States,2049,ssp126,1.695
USA,United States,2050,ssp126,1.7
USA,United States,2051,ssp126,1.705
USA,United States,2052,ssp126,1.71
USA,United States,2053,ssp126,1.715
USA,United States,2054,ssp126,1.72
USA,United States,2055,ssp126,1.725
USA,United States,2056,ssp126,1.73
USA,United States,2057,ssp126,1.735
USA,United States,2058,ssp126,1.74
USA,United States,2059,ssp126,1.745
USA,United States,2060,ssp126,1.75
USA,United States,2061,ssp126,1.755
USA,United States,2062,ssp126,1.76
USA,United States,2063,ssp126,1.765
USA,United States,2064,ssp126,1.77
USA,United States,2065,ssp126,1.775
USA,United States,2066,ssp126,1.78
USA,United States,2067,ssp126,1.785
USA,United States,2068,ssp126,1.79
USA,United States,2069,ssp126,1.795
USA,United States,2070,ssp126,1.8
USA,United States,2071,ssp126,1.805
USA,United States,2072,ssp126,1.81
USA,United States,2073,ssp126,1.815
USA,United States,2074,ssp126,1.82
USA,United States,2075,ssp126,1.825
USA,United States,2076,ssp126,1.83
USA,United States,2077,ssp126,1.835
USA,United States,2078,ssp126,1.84
USA,United States,2079,ssp126,1.845
USA,United States,2080,ssp126,1.85
USA,United States,2081,ssp126,1.855
USA,United States,2082,ssp126,1.86
USA,United States,2083,ssp126,1.865
USA,United States,2084,ssp126,1.87
USA,United States,2085,ssp126,1.875
USA,United States,2086,ssp126,1.88
USA,United States,2087,ssp126,1.885
USA,United States,2088,ssp126,1.89
USA,United States,2089,ssp126,1.895
USA,United States,2090,ssp126,1.9
USA,United States,2091,ssp126,1.9
USA,United States,2092,ssp126,1.9
USA,United States,2093,ssp126,1.9
USA,United States,2094,ssp126,1.9
USA,United States,2095,ssp126,1.9
USA,United States,2096,ssp126,1.9
USA,United States,2097,ssp126,1.9
USA,United States,2098,ssp126,1.9
USA,United States,2099,ssp126,1.9
USA,United States,2100,ssp126,1.9
USA,United States,2024,ssp245,1.36
USA,United States,2025,ssp245,1.417
USA,United States,2026,ssp245,1.473
USA,United States,2027,ssp245,1.53
USA,United States,2028,ssp245,1.587
USA,United States,2029,ssp245,1.643
USA,United States,2030,ssp245,1.7
USA,United States,2031,ssp245,1.72
USA,United States,2032,ssp245,1.74
USA,United States,2033,ssp245,1.76
USA,United States,2034,ssp245,1.78
USA,United States,2035,ssp245,1.8
USA,United States,2036,ssp245,1.82
USA,United States,2037,ssp245,1.84
USA,United States,2038,ssp245,1.86
USA,United States,2039,ssp245,1.88
USA,United States,2040,ssp245,1.9
USA,United States,2041,ssp245,1.92
USA,United States,2042,ssp245,1.94
USA,United States,2043,ssp245,1.96
USA,United States,2044,ssp245,1.98
USA,United States,2045,ssp245,2.0
USA,United States,2046,ssp245,2.02
USA,United States,2047,ssp245,2.04
USA,United States,2048,ssp245,2.06
USA,United States,2049,ssp245,2.08
USA,United States,2050,ssp245,2.1
USA,United States,2051,ssp245,2.12
USA,United States,2052,ssp245,2.14
USA,United States,2053,ssp245,2.16
USA,United States,2054,ssp245,2.18
USA,United States,2055,ssp245,2.2
USA,United States,2056,ssp245,2.22
USA,United States,2057,ssp245,2.24
USA,United States,2058,ssp245,2.26
USA,United States,2059,ssp245,2.28
USA,United States,2060,ssp245,2.3
USA,United States,2061,ssp245,2.32
USA,United States,2062,ssp245,2.34
USA,United States,2063,ssp245,2.36
USA,United States,2064,ssp245,2.38
USA,United States,2065,ssp245,2.4
USA,United States,2066,ssp245,2.42
USA,United States,2067,ssp245,2.44
USA,United States,2068,ssp245,2.46
USA,United States,2069,ssp245,2.48
USA,United States,2070,ssp245,2.5
USA,United States,2071,ssp245,2.52
USA,United States,2072,ssp245,2.54
USA,United States,2073,ssp245,2.56
USA,United States,2074,ssp245,2.58
USA,United States,2075,ssp245,2.6
USA,United States,2076,ssp245,2.62
USA,United States,2077,ssp245,2.64
USA,United States,2078,ssp245,2.66
USA,United States,2079,ssp245,2.68
USA,United States,2080,ssp245,2.7
USA,United States,2081,ssp245,2.72
USA,United States,2082,ssp245,2.74
USA,United States,2083,ssp245,2.76
USA,United States,2084,ssp245,2.78
USA,United States,2085,ssp245,2.8
USA,United States,2086,ssp245,2.82
USA,United States,2087,ssp245,2.84
USA,United States,2088,ssp245,2.86
USA,United States,2089,ssp245,2.88
USA,United States,2090,ssp245,2.9
USA,United States,2091,ssp245,2.9
USA,United States,2092,ssp245,2.9
USA,United States,2093,ssp245,2.9
USA,United States,2094,ssp245,2.9
USA,United States,2095,ssp245,2.9
USA,United States,2096,ssp245,2.9
USA,United States,2097,ssp245,2.9
USA,United States,2098,ssp245,2.9
USA,United States,2099,ssp245,2.9
USA,United States,2100,ssp245,2.9
USA,United States,2024,ssp585,1.44
USA,United States,2025,ssp585,1.5
USA,United States,2026,ssp585,1.56
USA,United States,2027,ssp585,1.62
USA,United States,2028,ssp585,1.68
USA,United States,2029,ssp585,1.74
USA,United States,2030,ssp585,1.8
USA,United States,2031,ssp585,1.85
USA,United States,2032,ssp585,1.9
USA,United States,2033,ssp585,1.95
USA,United States,2034,ssp585,2.0
USA,United States,2035,ssp585,2.05
USA,United States,2036,ssp585,2.1
USA,United States,2037,ssp585,2.15
USA,United States,2038,ssp585,2.2
USA,United States,2039,ssp585,2.25
USA,United States,2040,ssp585,2.3
USA,United States,2041,ssp585,2.35
USA,United States,2042,ssp585,2.4
USA,United States,2043,ssp585,2.45
USA,United States,2044,ssp585,2.5
USA,United States,2045,ssp585,2.55
USA,United States,2046,ssp585,2.6
USA,United States,2047,ssp585,2.65
USA,United States,2048,ssp585,2.7
USA,United States,2049,ssp585,2.75
USA,United States,2050,ssp585,2.8
USA,United States,2051,ssp585,2.85
USA,United States,2052,ssp585,2.9
USA,United States,2053,ssp585,2.95
USA,United States,2054,ssp585,3.0
USA,United States,2055,ssp585,3.05
USA,United States,2056,ssp585,3.1
USA,United States,2057,ssp585,3.15
USA,United States,2058,ssp585,3.2
USA,United States,2059,ssp585,3.25
USA,United States,2060,ssp585,3.3
USA,United States,2061,ssp585,3.35
USA,United States,2062,ssp585,3.4
USA,United States,2063,ssp585,3.45
USA,United States,2064,ssp585,3.5
USA,United States,2065,ssp585,3.55
USA,United States,2066,ssp585,3.6
USA,United States,2067,ssp585,3.65
USA,United States,2068,ssp585,3.7
USA,United States,2069,ssp585,3.75
USA,United States,2070,ssp585,3.8
USA,United States,2071,ssp585,3.85
USA,United States,2072,ssp585,3.9
USA,United States,2073,ssp585,3.95
USA,United States,2074,ssp585,4.0
USA,United States,2075,ssp585,4.05
USA,United States,2076,ssp585,4.1
USA,United States,2077,ssp585,4.15
USA,United States,2078,ssp585,4.2
USA,United States,2079,ssp585,4.25
USA,United States,2080,ssp585,4.3
USA,United States,2081,ssp585,4.35
USA,United States,2082,ssp585,4.4
USA,United States,2083,ssp585,4.45
USA,United States,2084,ssp585,4.5
USA,United States,2085,ssp585,4.55
USA,United States,2086,ssp585,4.6
USA,United States,2087,ssp585,4.65
USA,United States,2088,ssp585,4.7
USA,United States,2089,ssp585,4.75
USA,United States,2090,ssp585,4.8
USA,United States,2091,ssp585,4.8
USA,United States,2092,ssp585,4.8
USA,United States,2093,ssp585,4.8
USA,United States,2094,ssp585,4.8
USA,United States,2095,ssp585,4.8
USA,United States,2096,ssp585,4.8
USA,United States,2097,ssp585,4.8
USA,United States,2098,ssp585,4.8
USA,United States,2099,ssp585,4.8
USA,United States,2100,ssp585,4.8
GRL,Greenland,2024,ssp126,1.68
GRL,Greenland,2025,ssp126,1.75
GRL,Greenland,2026,ssp126,1.82
GRL,Greenland,2027,ssp126,1.89
GRL,Greenland,2028,ssp126,1.96
GRL,Greenland,2029,ssp126,2.03
GRL,Greenland,2030,ssp126,2.1
GRL,Greenland,2031,ssp126,2.108
GRL,Greenland,2032,ssp126,2.117
GRL,Greenland,2033,ssp126,2.125
GRL,Greenland,2034,ssp126,2.133
GRL,Greenland,2035,ssp126,2.142
GRL,Greenland,2036,ssp126,2.15
GRL,Greenland,2037,ssp126,2.158
GRL,Greenland,2038,ssp126,2.167
GRL,Greenland,2039,ssp126,2.175
GRL,Greenland,2040,ssp126,2.183
GRL,Greenland,2041,ssp126,2.192
GRL,Greenland,2042,ssp126,2.2
GRL,Greenland,2043,ssp126,2.208
GRL,Greenland,2044,ssp126,2.217
GRL,Greenland,2045,ssp126,2.225
GRL,Greenland,2046,ssp126,2.233
GRL,Greenland,2047,ssp126,2.242
GRL,Greenland,2048,ssp126,2.25
GRL,Greenland,2049,ssp126,2.258
GRL,Greenland,2050,ssp126,2.267
GRL,Greenland,2051,ssp126,2.275
GRL,Greenland,2052,ssp126,2.283
GRL,Greenland,2053,ssp126,2.292
GRL,Greenland,2054,ssp126,2.3
GRL,Greenland,2055,ssp126,2.308
GRL,Greenland,2056,ssp126,2.317
GRL,Greenland,2057,ssp126,2.325
GRL,Greenland,2058,ssp126,2.333
GRL,Greenland,2059,ssp126,2.342
GRL,Greenland,2060,ssp126,2.35
GRL,Greenland,2061,ssp126,2.358
GRL,Greenland,2062,ssp126,2.367
GRL,Greenland,2063,ssp126,2.375
GRL,Greenland,2064,ssp126,2.383
GRL,Greenland,2065,ssp126,2.392
GRL,Greenland,2066,ssp126,2.4
GRL,Greenland,2067,ssp126,2.408
GRL,Greenland,2068,ssp126,2.417
GRL,Greenland,2069,ssp126,2.425
GRL,Greenland,2070,ssp126,2.433
GRL,Greenland,2071,ssp126,2.442
GRL,Greenland,2072,ssp126,2.45
GRL,Greenland,2073,ssp126,2.458
GRL,Greenland,2074,ssp126,2.467
GRL,Greenland,2075,ssp126,2.475
GRL,Greenland,2076,ssp126,2.483
GRL,Greenland,2077,ssp126,2.492
GRL,Greenland,2078,ssp126,2.5
GRL,Greenland,2079,ssp126,2.508
GRL,Greenland,2080,ssp126,2.517
GRL,Greenland,2081,ssp126,2.525
GRL,Greenland,2082,ssp126,2.533
GRL,Greenland,2083,ssp126,2.542
GRL,Greenland,2084,ssp126,2.55
GRL,Greenland,2085,ssp126,2.558
GRL,Greenland,2086,ssp126,2.567
GRL,Greenland,2087,ssp126,2.575
GRL,Greenland,2088,ssp126,2.583
GRL,Greenland,2089,ssp126,2.592
GRL,Greenland,2090,ssp126,2.6
GRL,Greenland,2091,ssp126,2.6
GRL,Greenland,2092,ssp126,2.6
GRL,Greenland,2093,ssp126,2.6
GRL,Greenland,2094,ssp126,2.6
GRL,Greenland,2095,ssp126,2.6
GRL,Greenland,2096,ssp126,2.6
GRL,Greenland,2097,ssp126,2.6
GRL,Greenland,2098,ssp126,2.6
GRL,Greenland,2099,ssp126,2.6
GRL,Greenland,2100,ssp126,2.6
GRL,Greenland,2024,ssp245,1.76
GRL,Greenland,2025,ssp245,1.833
GRL,Greenland,2026,ssp245,1.907
GRL,Greenland,2027,ssp245,1.98
GRL,Greenland,2028,ssp245,2.053
GRL,Greenland,2029,ssp245,2.127
GRL,Greenland,2030,ssp245,2.2
GRL,Greenland,2031,ssp245,2.227
GRL,Greenland,2032,ssp245,2.253
GRL,Greenland,2033,ssp245,2.28
GRL,Greenland,2034,ssp245,2.307
GRL,Greenland,2035,ssp245,2.333
GRL,Greenland,2036,ssp245,2.36
GRL,Greenland,2037,ssp245,2.387
GRL,Greenland,2038,ssp245,2.413
GRL,Greenland,2039,ssp245,2.44
GRL,Greenland,2040,ssp245,2.467
GRL,Greenland,2041,ssp245,2.493
GRL,Greenland,2042,ssp245,2.52
GRL,Greenland,2043,ssp245,2.547
GRL,Greenland,2044,ssp245,2.573
GRL,Greenland,2045,ssp245,2.6
GRL,Greenland,2046,ssp245,2.627
GRL,Greenland,2047,ssp245,2.653
GRL,Greenland,2048,ssp245,2.68
GRL,Greenland,2049,ssp245,2.707
GRL,Greenland,2050,ssp245,2.733
GRL,Greenland,2051,ssp245,2.76
GRL,Greenland,2052,ssp245,2.787
GRL,Greenland,2053,ssp245,2.813
GRL,Greenland,2054,ssp245,2.84
GRL,Greenland,2055,ssp245,2.867
GRL,Greenland,2056,ssp245,2.893
GRL,Greenland,2057,ssp245,2.92
GRL,Greenland,2058,ssp245,2.947
GRL,Greenland,2059,ssp245,2.973
GRL,Greenland,2060,ssp245,3.0
GRL,Greenland,2061,ssp245,3.027
GRL,Greenland,2062,ssp245,3.053
GRL,Greenland,2063,ssp245,3.08
GRL,Greenland,2064,ssp245,3.107
GRL,Greenland,2065,ssp245,3.133
GRL,Greenland,2066,ssp245,3.16
GRL,Greenland,2067,ssp245,3.187
GRL,Greenland,2068,ssp245,3.213
GRL,Greenland,2069,ssp245,3.24
GRL,Greenland,2070,ssp245,3.267
GRL,Greenland,2071,ssp245,3.293
GRL,Greenland,2072,ssp245,3.32
GRL,Greenland,2073,ssp245,3.347
GRL,Greenland,2074,ssp245,3.373
GRL,Greenland,2075,ssp245,3.4
GRL,Greenland,2076,ssp245,3.427
GRL,Greenland,2077,ssp245,3.453
GRL,Greenland,2078,ssp245,3.48
GRL,Greenland,2079,ssp245,3.507
GRL,Greenland,2080,ssp245,3.533
GRL,Greenland,2081,ssp245,3.56
GRL,Greenland,2082,ssp245,3.587
GRL,Greenland,2083,ssp245,3.613
GRL,Greenland,2084,ssp245,3.64
GRL,Greenland,2085,ssp245,3.667
GRL,Greenland,2086,ssp245,3.693
GRL,Greenland,2087,ssp245,3.72
GRL,Greenland,2088,ssp245,3.747
GRL,Greenland,2089,ssp245,3.773
GRL,Greenland,2090,ssp245,3.8
GRL,Greenland,2091,ssp245,3.8
GRL,Greenland,2092,ssp245,3.8
GRL,Greenland,2093,ssp245,3.8
GRL,Greenland,2094,ssp245,3.8
GRL,Greenland,2095,ssp245,3.8
GRL,Greenland,2096,ssp245,3.8
GRL,Greenland,2097,ssp245,3.8
GRL,Greenland,2098,ssp245,3.8
GRL,Greenland,2099,ssp245,3.8
GRL,Greenland,2100,ssp245,3.8
GRL,Greenland,2024,ssp585,1.92
GRL,Greenland,2025,ssp585,2.0
GRL,Greenland,2026,ssp585,2.08
GRL,Greenland,2027,ssp585,2.16
GRL,Greenland,2028,ssp585,2.24
GRL,Greenland,2029,ssp585,2.32
GRL,Greenland,2030,ssp585,2.4
GRL,Greenland,2031,ssp585,2.465
GRL,Greenland,2032,ssp585,2.53
GRL,Greenland,2033,ssp585,2.595
GRL,Greenland,2034,ssp585,2.66
GRL,Greenland,2035,ssp585,2.725
GRL,Greenland,2036,ssp585,2.79
GRL,Greenland,2037,ssp585,2.855
GRL,Greenland,2038,ssp585,2.92
GRL,Greenland,2039,ssp585,2.985
GRL,Greenland,2040,ssp585,3.05
GRL,Greenland,2041,ssp585,3.115
GRL,Greenland,2042,ssp585,3.18
GRL,Greenland,2043,ssp585,3.245
GRL,Greenland,2044,ssp585,3.31
GRL,Greenland,2045,ssp585,3.375
GRL,Greenland,2046,ssp585,3.44
GRL,Greenland,2047,ssp585,3.505
GRL,Greenland,2048,ssp585,3.57
GRL,Greenland,2049,ssp585,3.635
GRL,Greenland,2050,ssp585,3.7
GRL,Greenland,2051,ssp585,3.765
GRL,Greenland,2052,ssp585,3.83
GRL,Greenland,2053,ssp585,3.895
GRL,Greenland,2054,ssp585,3.96
GRL,Greenland,2055,ssp585,4.025
GRL,Greenland,2056,ssp585,4.09
GRL,Greenland,2057,ssp585,4.155
GRL,Greenland,2058,ssp585,4.22
GRL,Greenland,2059,ssp585,4.285
GRL,Greenland,2060,ssp585,4.35
GRL,Greenland,2061,ssp585,4.415
GRL,Greenland,2062,ssp585,4.48
GRL,Greenland,2063,ssp585,4.545
GRL,Greenland,2064,ssp585,4.61
GRL,Greenland,2065,ssp585,4.675
GRL,Greenland,2066,ssp585,4.74
GRL,Greenland,2067,ssp585,4.805
GRL,Greenland,2068,ssp585,4.87
GRL,Greenland,2069,ssp585,4.935
GRL,Greenland,2070,ssp585,5.0
GRL,Greenland,2071,ssp585,5.065
GRL,Greenland,2072,ssp585,5.13
GRL,Greenland,2073,ssp585,5.195
GRL,Greenland,2074,ssp585,5.26
GRL,Greenland,2075,ssp585,5.325
GRL,Greenland,2076,ssp585,5.39
GRL,Greenland,2077,ssp585,5.455
GRL,Greenland,2078,ssp585,5.52
GRL,Greenland,2079,ssp585,5.585
GRL,Greenland,2080,ssp585,5.65
GRL,Greenland,2081,ssp585,5.715
GRL,Greenland,2082,ssp585,5.78
GRL,Greenland,2083,ssp585,5.845
GRL,Greenland,2084,ssp585,5.91
GRL,Greenland,2085,ssp585,5.975
GRL,Greenland,2086,ssp585,6.04
GRL,Greenland,2087,ssp585,6.105
GRL,Greenland,2088,ssp585,6.17
GRL,Greenland,2089,ssp585,6.235
GRL,Greenland,2090,ssp585,6.3
GRL,Greenland,2091,ssp585,6.3
GRL,Greenland,2092,ssp585,6.3
GRL,Greenland,2093,ssp585,6.3
GRL,Greenland,2094,ssp585,6.3
GRL,Greenland,2095,ssp585,6.3
GRL,Greenland,2096,ssp585,6.3
GRL,Greenland,2097,ssp585,6.3
GRL,Greenland,2098,ssp585,6.3
GRL,Greenland,2099,ssp585,6.3
GRL,Greenland,2100,ssp585,6.3
MEX,Mexico,2024,ssp126,1.2
MEX,Mexico,2025,ssp126,1.25
MEX,Mexico,2026,ssp126,1.3
MEX,Mexico,2027,ssp126,1.35
MEX,Mexico,2028,ssp126,1.4
MEX,Mexico,2029,ssp126,1.45
MEX,Mexico,2030,ssp126,1.5
MEX,Mexico,2031,ssp126,1.505
MEX,Mexico,2032,ssp126,1.51
MEX,Mexico,2033,ssp126,1.515
MEX,Mexico,2034,ssp126,1.52
MEX,Mexico,2035,ssp126,1.525
MEX,Mexico,2036,ssp126,1.53
MEX,Mexico,2037,ssp126,1.535
MEX,Mexico,2038,ssp126,1.54
MEX,Mexico,2039,ssp126,1.545
